district_name,population,area_km2,dist_center_km,crime_total,crime_rate,crime_Burglary,crime_Disorder,crime_Other,crime_Theft,crime_Violent,airbnb_count,airbnb_density,airbnb_economy,airbnb_luxury,airbnb_luxury_density,airbnb_entire_home,price_avg,poi_count,poi_density,poi_attraction,poi_bar,poi_cafe,poi_hostel,poi_hotel,poi_museum,poi_nightclub,poi_pub,poi_restaurant,nights_non_residents,tourist_intensity,foreigners,foreigner_ratio,people_university,university_ratio,unemployment,mhd_count,mhd_density
Praha-Lochkov,837,2.7162170887675257,10.588393243187204,441,526.8817204301075,2,1,435,3,0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,68,0.081242532855436,184,0.2198327359617682,1.69,6,2.2089545142809186
Praha-Lysolaje,1639,2.474802462267029,5.317086032335594,26,15.86333129957291,2,1,20,2,1,2.0,0.8081453087645271,1.0,0.0,0.0,2.0,2630.0,5.0,2.0203632719113176,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0,0.0,360,0.2196461256863941,551,0.3361805979255644,1.85,13,5.252944506969426
Praha-Nebušice,2872,3.680762988007202,7.188129937010841,162,56.4066852367688,12,3,141,4,2,5.0,1.3584140071749211,5.0,0.0,0.0,2.0,1088.6,4.0,1.086731205739937,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,0.0,948,0.33008356545961,823,0.2865598885793872,1.2,14,3.80355922008978
Praha-Nedvězí,381,3.808498372934888,18.485406125764797,13,34.120734908136484,1,1,11,0,0,4.0,1.0502827120594351,2.0,0.0,0.0,4.0,2235.5,2.0,0.5251413560297176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,83,0.2178477690288714,53,0.1391076115485564,2.95,7,1.8379947461040116
Praha-Petrovice,6040,1.7864293006546386,11.587728246785616,218,36.09271523178808,13,14,166,21,4,4.0,2.2391034442472457,3.0,0.0,0.0,1.0,1498.3333333333333,4.0,2.2391034442472457,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0,0.0,882,0.1460264900662251,1321,0.2187086092715232,2.0,28,15.67372410973072
Praha-Přední Kopanina,698,3.2744313491893684,8.970040419874248,92,131.8051575931232,1,0,91,0,0,2.0,0.6107930772453447,1.0,0.0,0.0,1.0,2496.0,3.0,0.916189615868017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0.0,161,0.2306590257879656,142,0.2034383954154728,1.77,8,2.443172308981379
Praha-Satalice,2715,3.797950106593072,12.322228986987422,81,29.834254143646408,4,4,66,6,1,3.0,0.7898997922042561,1.0,1.0,0.263299930734752,3.0,3562.6666666666665,6.0,1.5797995844085122,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,0,0.0,621,0.2287292817679558,576,0.2121546961325967,2.21,25,6.5824982683688
Praha-Slivenec,3981,7.590731592281526,9.16917047832613,408,102.48681235870384,19,18,362,9,0,3.0,0.3952188222608854,1.0,0.0,0.0,2.0,2645.0,5.0,0.6586980371014757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0,0.0,459,0.1152976639035418,1061,0.2665159507661391,1.89,32,4.2156674374494445
Praha-Suchdol,7058,5.13560193293967,6.327815090203667,244,34.57069991499008,11,28,193,9,3,1.0,0.1947191416036386,1.0,0.0,0.0,1.0,1300.0,20.0,3.894382832072773,0.0,3.0,3.0,0.0,2.0,0.0,0.0,3.0,9.0,18412,2.6086710116180223,1754,0.2485123264380844,2354,0.3335222442618305,1.49,26,5.062697681694606
Praha-Troja,1603,3.37144135370472,3.574085769569535,346,215.84529008109797,8,9,318,10,1,7.0,2.0762633145933345,2.0,1.0,0.2966090449419049,4.0,3414.833333333333,122.0,36.1863034829124,105.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,12.0,30732,19.1715533374922,367,0.2289457267623206,548,0.3418590143480973,2.1,36,10.677925617908576
Praha-Velká Chuchle,2867,6.017496795015116,8.634378589667843,1914,667.5967910708057,22,15,1853,23,1,8.0,1.3294564621334215,0.0,0.0,0.0,8.0,2991.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,533,0.1859086152772933,738,0.2574119288454831,1.75,37,6.148736137367076
Praha-Vinoř,4604,5.998221177001347,12.7516221817249,160,34.75238922675934,12,25,110,9,4,4.0,0.6668643722803991,1.0,2.0,0.3334321861401995,2.0,3503.75,11.0,1.8338770237710973,3.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,0,0.0,656,0.1424847958297133,1098,0.2384882710686359,3.15,21,3.5010379544720958
Praha-Zbraslav,10575,9.85348984063439,12.870626889205385,1816,171.72576832151302,39,45,1655,64,13,8.0,0.8118950878712168,5.0,0.0,0.0,6.0,1425.0,20.0,2.029737719678042,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,13.0,2515,0.2378250591016548,1771,0.1674704491725768,2541,0.2402836879432624,1.63,53,5.378804957146811
Praha-Zličín,8868,7.169365624820148,10.495503059698851,1202,135.54352728912946,44,73,965,106,14,10.0,1.3948235483178977,5.0,1.0,0.1394823548317897,10.0,2704.4,14.0,1.9527529676450568,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,7.0,0,0.0,3012,0.3396481732070365,2691,0.3034506089309878,2.04,87,12.13496487036571
Praha-Újezd,3893,3.7031802659763313,11.536038862859629,558,143.33418957102492,9,7,534,7,1,3.0,0.8101144920119248,0.0,0.0,0.0,3.0,2650.0,4.0,1.0801526560158996,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,801,0.205753917287439,1087,0.2792191112252761,2.2,16,4.320610624063598
Praha-Čakovice,12589,10.183716155105238,11.079899266747184,578,45.91309873699261,30,43,433,65,7,3.0,0.2945879435667557,3.0,0.0,0.0,1.0,1434.6666666666667,10.0,0.9819598118891856,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,5.0,0,0.0,2285,0.181507665422194,2691,0.2137580427357216,2.64,69,6.7755227020353805
Praha-Ďáblice,4270,7.379375495726167,8.23388877668231,342,80.09367681498829,11,23,300,6,2,3.0,0.4065384668035225,3.0,0.0,0.0,2.0,1165.0,6.0,0.813076933607045,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,742,0.1737704918032787,905,0.211943793911007,1.93,29,3.929871845767385
Praha-Řeporyje,6288,9.902539423186456,10.580896766222896,617,98.1234096692112,24,41,530,18,4,1.0,0.1009841978168281,1.0,0.0,0.0,0.0,1700.0,12.0,1.2118103738019377,2.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,6.0,0,0.0,1837,0.2921437659033079,1764,0.2805343511450381,1.97,36,3.635431121405812
Praha-Šeberov,3322,5.00176852122112,11.206874239061,211,63.51595424443107,7,12,182,9,1,9.0,1.79936355747282,7.0,0.0,0.0,6.0,888.7142857142857,6.0,1.19957570498188,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0,0.0,643,0.1935580975316074,877,0.2639975918121613,2.02,34,6.797595661563986
Praha-Štěrboholy,2689,2.968908071206948,9.462858983074115,1729,642.9899590925995,17,12,1619,80,1,1.0,0.3368241710473274,0.0,0.0,0.0,1.0,2286.0,2.0,0.6736483420946549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,802,0.2982521383413908,616,0.229081442915582,1.68,42,14.14661518398775
